,label,review
11903,1,回复 @就叫大妞:[哈哈] 恭喜王哥！！@王劲松wjs  //@就叫大妞: 回复 @关太家的关兜兜:王哥哥第一，第一！周洋第二！@王劲松wjs @奥迪东北区周洋
4411,1,//@精彩电影:好真实[哈哈]
1302,1,[哈哈]生活再苦再累，请在心里对自己说：给老子笑。
64308,0,上礼拜刚来的机电院，闹中取静喜欢死了，所以今儿又来探了一家新店@邑品汤 主打粤菜，汤品，情调，取决于选址和装修。最喜欢的是口味儿，流沙包有咸蛋黄的颗粒感，邑品汤非常香浓，一碗我就饱了，而且很便宜，鱼翅鱼肚鸡汤[抓狂]菜量很大，一盆上汤蛋时蔬就够俩人吃了 我在这里:http://t.cn/8DDYaCY
114294,0,十分想念毛主席！他老人家在世小日本--敢！[怒]
16591,1,海胆、花椰菜、龙虾果冻配鱼子酱及海藻薄脆（1）[嘻嘻]
64005,0,到了到了到了…[泪]
111697,0,每两小时起夜一次[晕]????
83219,0,唉，天天被洗脑//@bb_CD:这还是白鹿原吗？@william1974 [晕]//@Kate凯特琳:@找不着北ing //@十三号de魔鬼夫人ttt: 删成这样，还不如不要了 //@sevennalu:百灵真好看 //阵子还在想，这电影到底要怎么表现白灵的结局，原来就这么解决啊，丢人//本书境下很难出版，更不可能获奖//@光远看删得连蛋都不剩了
3129,1,林诗人，怪不得五毛啊！若非对薄王有偏爱，对南方系有偏见，何至于轻信如此拙劣的谣言？顺白：在下对南方系死挺某天才亦不齿，但其对薄王的揭露，犹待深入。 //@林岳芳:回复@郎志海:现在那些人，习惯谣言倒逼真相，我很生气！[悲伤]  //@郎志海:林老师很生气，后果很严重[嘻嘻]
32736,1,[亲亲] 谢谢徐总鼓励！多给我们提意见建议哦！
85753,0,回复@纯手工刺绣:[悲伤] //@纯手工刺绣:谁让你那么不低调呢！宣什么不好宣字
92098,0,抹茶，红豆，绝配啊[馋嘴]某人还说要买来做抹茶冰激励的，混蛋。。。[泪]
116714,0,姑娘们奋战在舞蹈前线辛苦了[泪]
47511,1,@姚小费 看来是我瞎操心了? [嘻嘻] //@德国国家旅游局:关注趋势。
70527,0,上海就是一座堵城！[泪]
100105,0,这样团结友爱温暖的集体终生难忘[悲伤] //@宋菲AS:爱你们没商量[泪]
115996,0,久不见面的人，见了我第一句话，都是：“你胖了啊？”[抓狂]我是又多胖啊，肉全长脸上了！[抓狂]
112723,0,谢谢！说完发现不是对我表白，是要吃我！[泪]
36767,1,回复@曲艺同学:开球不是用蛮力，是运用速度和瞬间的爆发力，调动整个身体的协调性。另外要注意白球和1号球的击球点要准，不然力量会分散。祝进步[可爱] //@曲艺同学:请教一下，发球的时候为什么我总使不出力气呢？是胳膊使劲还是身体呢？@潘晓婷
81652,0,加班到现在，桑不起啊！！！[抓狂]
64496,0,老大好腹?，我要笑出盲肠炎啦[抓狂]// @猛敌 :太过分啦[泪] //  @老M在线  ：猛敌躺着中枪～～//  @朱皓毅  :老M开飞机油烧完就要挂了，看到猛敌的飞机在抢跑道，于是大喊“mayday! mayday! mayday!”，猛敌很激动... 我才去开盲肠没几天看到我就那么激动，于是老M的飞机还是挂了...
90966,0,叙诡新名单是麻神，所以我看的到底是时间诡计还是人称诡计还是角度诡计还是这次我不玩叙述性诡计了好刁钻啊！[抓狂][抓狂][抓狂]
94617,0,是的，是香港少有得??杭之一。//@冰岛的漂流瓶: 天香楼！[馋嘴]//@半成品女鬼: @肥嘟嘟新右卫门 [委屈][抓狂] //@KC?味??:是很豪?的吃法！//@Monochrome_Mosaic: 如此食蟹粉，爽快哉！//@Isaac的?局?味: 要吃就要吃最好的，天香?的清炒蟹粉是本地最高推介！
14235,1,嫂子好厉害！[鼓掌]//@千猪-_-凸: [偷乐]
102269,0,昨天大姐@sofia 在博客留言里说，又到长周末了。今晚她打算以我俩认识两周年的名义炖一锅羊肉庆祝一下[嘻嘻]看看一起走的路，我很严肃的说：大姐，咱俩合影真是少得可怜啊[泪]！2009.12葡萄牙里斯本2010.05意大利科莫2010.10瑞士女魔头冰川2010.11巴塞罗那2011.06斯洛文尼亚2011.08北海涠洲岛
56507,1,回复@________?光园:其实这很简单、可以实现的 //@________?光园:跟着你写的想象一下，真的很羡慕这种生活。。[可爱][可爱][可爱] //@无须豆蔻:回复@单品咖啡李颜2013:恩、我只要阶段性的就可以[哈哈]  //@单品咖啡李颜2013:只要有勇气这种生活随时可以！哈哈！
84575,0,//@这个微博很给力：[抓狂][吃惊]
17584,1,少壮不努力，长大带孩子。春眠不觉晓，醒来带孩子。举头望明月，低头带孩子。商女不知亡国恨，一天到晚带孩子。夜夜思君不见君，还得埋头带孩子。洛阳朋友如相问，就说我在带孩子。待到山花烂漫时，我在丛中带孩子。问君能有几多愁，恰似一天到晚没完没了带孩子。[嘻嘻]@大豆-Bean @CC-猫行天下
74810,0,今早上班路上有店铺前面挂起了国旗。晚上回家一看，连小区门口都挂起了国旗[思考][疑问]才恍然是因为十八大。 这是谁靠采购国旗又大赚一笔[抓狂]
116172,0,谁能告诉我它怎么赚钱的？[泪]//@申音: //@王亚非JaneWang: 无负债可以理解，运营成本是多少呢？成本构成又是什么样的呢？ //@何刚:净利润何来？截至2010 年12 月31 日，人民搜索经审计的总资产8133.84 万元，净资产8089.18 万元；2010 年实现营业收入0 万元，净利润为3089.18 万元
25627,1,自己烤的就是好吃 是吧 哈哈 三个贪得无厌的家伙[哈哈]
64284,0,@rightmary [晕]
87111,0,什么情况。南站4号线有故障，站台上全是人。果段换路上车。今天周一呀[晕]
62442,0,@网易免费邮箱 太费劲了！每次想用你的时候，就没有让人爽的感觉，你让我说什么好啊??? [怒]
105138,0,[怒]@TOPFM1018周依璇:我在现场 大悦城不但不作为 而且还和会员动粗 素质堪忧呀！ // @张大为 : // @宋涛灰太狼 : // @徐艳儿 : 1600会员，健身会费2千-5千，spa会费5万-30万。 // @牛丽燕 :才看到，没在现场，声讨中粮，从这件事可以看出他们的管理太成问题了。 // @徐艳儿 :朝阳大悦城奥力维权
32162,1,哈佛大学超人类研究中心彻但教授发现，桌子乱糟糟的人，比桌子整洁的人，创造力平均要高出50%；经常迟到的人，比从不迟到的人，幽默感平均高出70%；饭量大的人，比饭量小的人，情商平均高出90%。我想说的是：还是哈佛的教授靠谱哦！[哈哈][哈哈][哈哈]
2131,1,#才子晒奖品#谢谢@北京交通广播 #1039年夜饭#礼物，美容养颜红酒哈[太开心][太开心] 我在:http://t.cn/8FqdroT
60502,0,小螃蟹，这个你也知道啊！看来我太闭塞啦！//@小螃谢: 十里蓝山，不过要有车才方便滴//@厦门徒步客: 回复@厦门玲子精品微博:新浪，腾讯，微博都是！看来你周末玩疯啦，都不上网啊！我想知道花海在哪里呢？谁组织滴！我咋就没发现呢？ //@厦门玲子精品微博:[泪]昨晚没提醒我要出来拍
75019,0,昨天才知道，?客新版的《基地三部曲》那??封上的?河各星系地?，竟然是他???看完?河帝?系列15本之後慢慢??再?出?的，??直有?外GEEK的水?啦！膜拜中~~[抓狂]
46961,1,第二位幸运粉丝也统计出来啦?? 恭喜@薄荷小沫 同学，成为第2333位转发的同学，亲将获得饼干模具一套+隔热手套一副，撒花??[鼓掌] 请小沫同学私信我快递信息，今天还有终极大奖等着大家哦，加油吧[哈哈] //@Nicole的生活书:为感谢大家的热情互动，我们今天继续送礼[太开心]截至今晚12点，第1999，23
33611,1,棒 //@环球街拍:鲜花甜筒~[爱你]，推荐关注@疯狂奢侈品
30566,1,暴食不宜。//@枫泾古镇官微: 经常来走哦。走一个又一个。[哈哈]
87154,0,[伤心]//@思考和计算的大狗:转发微博
45187,1,[亲亲][亲亲]好喜欢哦！ //@-岸边的小鱼-: 矮油，萌死了！[兔子][兔子][兔子]
88513,0,回覆@zoetuan:?啊？ //@zoetuan:回复 @KwanChiu:您的缺席引爆退?潮，?我?交待啊[泪] //@KwanChiu:感恩喔～ //@Cindylady:@KwanChiu 替我订一双给宽姐！
62755,0,太美了 我今年都没时间去拍[泪]
108495,0,跪了@王淮Harry //@任熙-天使投资: 技术啊 //@祝捷:有点后悔小学数学就没学好[抓狂] //@杜雪骞: 技术宅男的力量 //@桔子水晶陈中:看完后恍如隔世啊//@训宁: 技术改变商业！[偷笑]//@数据挖掘与数据分析: 给跪了！绝对牛。。。
78402,0,梦是反的吧我真的被吓醒了[泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪][泪]
23772,1,[玫瑰][亲亲]//@悠悠路2011: 转了
10586,1,她这是等着要鸡排呢！[哈哈][偷笑][萌]我说这要感谢你@安婷Tanz a阿姨！ 我在:http://t.cn/zWQXPER
27141,1,预热?@厨王争霸_国际顶级厨艺大赛 第七季开拍?@Seanyang_光_大洋 你还真像意大利人！[嘻嘻]
13602,1,@JanieJourney @百变飞天小女警Elaine 你们这些气死人的瘦美女，有的说了这！ //@Armaniwu:多吃杨家火锅[偷笑]//@杨絮-杨家秘笈火锅: 很好的安慰[哈哈]
34230,1,#新鲜旅人看海南# 【原生态热带雨林谷 神秘的一草一木】海南有着大片的热带雨林，这里不仅有着繁多且珍贵的植物，更有着丰富的生态系统。不仅山清水秀、美轮美奂，似世外桃源让人心旷神怡，更是野外摄影的绝佳宝地哦！一起来看看这神秘的万物生灵吧！ (摄影 bywo行者孙)[爱你]http://t.cn/8kh4ufQ
62809,0,赞同取缔城管。//@林子Lisa://@复旦管院孙一民: [怒]//@猫咪玎: 取缔城管这个组织！@右立刻 //@周玲://@大熊的私人微博: ！//@苏湘迅: 淮安 //@丑鱼尼莫:太可惜，太悲惨！ //@肖雪慧: 追究打人城管和渎职警察责任。 //@倚天万里须长剑: 能考上复旦的就算是天才了，居然死在这些畜生手里。
45419,1,回复 @落叶A知秋:哇，这麽快一千了，哈哈//@落叶A知秋:童话作家葛新V...荣为第1000位亚麻[鼓掌]
102097,0,这是几天没有吃饭啊，[晕]
45939,1,吼吼，这个对话太经典了[太开心] //@王皓Ryan:司机想太多了，他起不来是年纪到了，塑化剂是影响下一代的发育
83252,0,太困了[泪]周末快来吧
16527,1,您的开心是对我们最大的支持，希望我们能陪您度过每一个值得纪念的日子！[亲亲][鼓掌]
67246,0,看来我必须要换手机了 [泪]
111400,0,最后是高级黑啊，哪有那样啊//@王亚军北京: 黑?江人[衰]
21690,1,回复@土拨鼠小童鞋:亲说的没错哦，蓝莓、榴莲的，芒果的小cake，建议亲尝尝哦[嘻嘻] //@土拨鼠小童鞋:回复@都太海鲜自助:确实，所有甜品都好吃
87479,0,//@热爱生活并努力减肥的男孩子:这种事居然发生在我们南京真可恶[怒][怒]//@我想有颗哭痣:[怒][怒] //@曹睿blog:[怒] //@热爱生活并努力减肥的男孩子:  @南京零距离
26373,1,#我爱满堂彩# 第一次听说分数能考的“爷爷奶奶样”，原来喜欢篡改分数的“熊孩子”遍布世界各地，不分国界和民族啊[哈哈]这外国方言杂那么容易就听懂了呢[哈哈]爸比呀，家庭暴力要不得呀[笑哈哈]
84630,0,彻底乱了！[抓狂]92年的茅台。[嘻嘻]
15322,1,这娃实诚，可成大器[嘻嘻]//@黑犬先生:以后妥妥的//@依人淡如菊:[泪][泪]
11362,1,"他的名字可能念对？ //@青指甲:Rajesh Koothrappali 外表很羞涩 内心很淫荡~~我喜欢听他的印度式英语。大舌头啊大舌头。PENNY,PENNY,PENNY...HAHA [嘻嘻]"
87589,0,叫?在渡假晚上回帝都的哥怎?能淡定的了[泪] //@叫我田主任:@昆哥Q  //@sn07:[哈哈]//@ICE梦旅人:[哈哈][哈哈][哈哈] //@新周刊:北京欢迎您！
31610,1,啧啧啧、敢让俄也获奖不……[害羞]哈哈哈。[酷]还没来得及参与的、以及木有获奖滴小伙伴、咱们18号再见啦～[鼓掌]帮忙弱弱问一句：已获奖滴下次阔不阔以继续抢咩？？？
91422,0,我肿么赶脚我好久都不看格言了呢~~我老了[泪] //@胖小蛋儿:转发微博
67305,0,其实哪都是火炕//@不愿融化de冰:@浦东新峥哥 @高祯祥 //@程序员的那些事: //@肖辉: 据说华为都是签下奋斗者协议扛着行军床加班的，普天之下难望其项背，更狠一点的，恐怕只有回到古代悬梁刺股那样加班了//@梁涛-LT: [衰]
17385,1,[哈哈] //@五角场张生:求窥视丝绸般肌肤 //@颜杰:  //@孔二狗:威廉宝贝儿你已经青出于蓝了[爱你][爱你]狗哥一直被模仿，今天终于被你超越[爱你][爱你]
117875,0,1、贵台有北京记者站木有？2、被30岁以下伤害而飘过。[泪]
45710,1,[哈哈][哈哈]品茶
22775,1,可以帮你申请低价的北京香港机票。请联系400 610 5166//@白白焦糖玛奇朵:送我北京香港往返吧再[哈哈]//@李洁-alina:转发微博
8515,1,哈哈~我这身形好像悟空~[哈哈]//@邢岷山: 这太2了[偷笑]，我看着整个儿一个罗锅啊[嘻嘻]还是张潮配的好，那小身材和他很像啊[哈哈]
27686,1,谈不上是老师，只是作为过来人跟大家分享一些希望是有用的经验之谈，能有一些有用之处是我们之幸 [可爱]//@巨匠娱乐:顺便预告，下周六，13号，同样的时间，胡老师开讲！[鼓掌] //@羽泉地带:4月6日23：45CCTV-1播出
49420,1,我想会有机会的！[嘻嘻]//@高山顶上一青松: 真是漂亮，遗憾的是前年去武夷山时没顺道看看。//@开心老房东2010: //@太极阴阳五行八卦: //@水墨婺源: [给力][围观]//@雨后清荷19: 转发微博
54626,1,[嘻嘻] 国庆过去了，圣诞和元旦还会远么？想来深圳或者香港扫货的大家，转起来！ //@驴妈妈旅游网: 免费体验五星级香格里拉大酒店，远眺香港美景哦~
88349,0,我真的一点也没困[抓狂][抓狂][抓狂]
71135,0,呃~~这种情况要支持谁呢？这是泰国少数几个拿金牌的项目，可又想中国队赢[疑问][思考][悲伤]
53825,1,@棉袜子 @精品乐活志 @李信玲 @小米表姐 @牙碜妞儿  //@百度旅游: [鼓掌]转给喜欢吃樱桃的亲们，挑选樱桃有诀窍呦～樱桃成熟的季节，我们只挑最好最甜的吃[阴险]
74481,0,//@博联社马晓霖: 【那又如何】你没见到德国代表团回国向默克尔哭诉：奇耻大辱！欺人太甚啊！奥巴马非但不道歉，而且拒绝签署不监控德国备忘录。5555。//@林建?: 华为估计气疯了。WTF，之前天天喊着威胁美国国安，结果背地里天天偷窥监控华为。[衰]
96139,0,回复@qingdaozcw:多谢！PS.每次收行李，一到收充电器我就头痛：现代生活需要的充电器太多了――一布口袋才装完！[抓狂]//@qingdaozcw:喜欢，支持！祝一路平安，旅途愉快！希望幸运！
87784,0,#北京事儿#【[失望]】@伊凯Baidu：从北京近郊的海淀驾校往城里看，第一次这么有差别的体会到霾！确实很震惊。。。@北京全攻略
26451,1,全都中 //@蜀蜀0208:3 [可爱][可爱][可爱][可爱]
104245,0,怎么搞的？你以前可是位吃嘛嘛香身体倍棒的姑娘啊。 //@唐晓芸:太感动了~~ 偶现在左耳上还贴着邓大夫贴的耳贴呢，每天按压穴位3-5次，真的很疼啊[泪]，希望有助于尽快恢复。这两天开始喝中药，味道很苦，不过还能接受。跟柳州青云美食街上的刘乐仙凉茶味道很像，嘻嘻~~[挤眼]
24200,1,哈哈，你带我才是！[嘻嘻] //@Angel?悠:你不带我去！！@繁星满天飞扬:如果想去台湾，不妨去试试是否能接受台湾的美食。@flyleave开心小土豆 @嘘嘘_阿奴 @Angel?悠 @综于缘味 @Sundy删我贴的掉厕所
29102,1,回复@by_左手:[委屈]可惜今天人太多，等不及排大队签名就撤了，得机会得补上，呵呵~~ //@by_左手:感谢来参加哦，也希望你的书大麦[鼓掌]
38702,1,新年快乐！[鼓掌] //@黑云都:新年快乐 //  @曹亚光Tea  :新年好！你吉祥！！  @程虹     @黑云都     @卡美拉     @李丝桐     @玲珑--流苏     @朱德付     @拿铁十三姨     @品牌梦想     @吴稼祥     @蒲松林       @三样菜帮主     @少年张三锋     @石一伊
22838,1,好不容易看会电视了！没一让你心情舒畅的！@非诚勿扰 怎么大过年找来那么些悲催的人呀？！还好，我只看主持人！[哈哈]
42712,1,功力深厚[哈哈][哈哈] //@吴振韬Ludovic:我也要这样的师傅！
100711,0,有这个危险的… //@鱼_小确幸:这不是过了咩?_? //@大涵想要Visa：其实我很害怕我家老公没有跨过去但是被卡住[泪]你懂的 //@鱼_小确幸:哇！ @大涵想要Visa
66340,0,经过#后宫生存能力测试#，我的宫斗能力★★★★★，宁嫔。人说无欲则刚，宁嫔不卑不亢，正是英雄好儿女；滴水之恩涌泉相报，爱人已死，亦不愿独活[泪]；我的宫中知己是@QUEEN_lik @cc珍宝贝 @依然小白xx ，如果身处后宫，你又会有怎样的命运？快来测测吧！http://t.cn/zOD8C8v
106278,0,[泪]//@台?假期V: [吃惊] //@y杨芳菲:下跌速度惊人
81958,0,从来做中转航班，前程都TM?，后程赶不上，你们特么商量好的是吧！[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂]
25070,1,没吃到好吃的，桑心.....突然想家了[委屈][可怜]? 大晚上跑机场买票回家。你们猜谁陪我回家呢？[偷笑][偷笑][嘻嘻] 我在这里:http://t.cn/zjquFGo
89078,0,噗。。。 //@泪无痕的小木屋://@芒果C米露: [黑线][黑线]//@猥琐的一颗心可昭日月: 哈哈哈哈哈好蠢哭 //@pinky丶Lee:噗！真的是有带高跟鞋！没穿[哈哈]//@小矽YUI:#宋茜音乐风云榜#[晕]#宋茜#//@演员饭就是我_就是宋小新:#宋茜# #宋茜音乐风云榜# 应该是吧- -
14296,1,＃小编传送门＃看着虾酱的行李清单就觉得旅行是件很美好的事情呢！[爱你]
52473,1,[爱你] //@中国首席设计师：经典的注目
9216,1,@优雅小裤衩 [哈哈]
30123,1,快快推荐好友来看哦！[嘻嘻][嘻嘻] //@Athens_22:已看。值得一看，亦值得收藏，期待蓝光中。
39377,1,#高级定制#  vca定制系列...18k黄金钻石戒指超美的一款哦...[花心][花心]现全面接受预定啦...[鼓掌][鼓掌][鼓掌][话筒][话筒][话筒]
108029,0,这是我用过的WiFi中，密码最长的一个[晕]，是在#福特#总部遇到的[哈哈]。#北美车展#的那些Code。。。 http://t.cn/SMnQVo
102565,0,每天睡得起不来，没有冻梨了，羡慕早起的人，我也想无忧无虑睡到自然醒，不过很有罪恶感，鸭梨很大啊[抓狂][抓狂][钟]早安！
31965,1,[哈哈] //@宋永红Song://@舒昊1122:地位又上升了[偷笑]//@何兵: PS的吧？
42868,1,//@野蛮小昕昕: [亲亲]
104531,0,[围观]//@宁财神:[泪]
52741,1,你妹！//@陈芳菲要去旅行:@田晓畅 [哈哈][哈哈][哈哈][嘻嘻][嘻嘻][嘻嘻][哈哈][哈哈][哈哈]
4840,1,[爱你][馋嘴][鼓掌]//@郭与郭:[威武][围观][干杯][赞]//@月影淡淡:必须高兴一下@微博有发现 @凉风峰 @刘传水 @郭与郭 @最水蜜的桃 @卓异 @鱼丸粗面的Sky  //@权歌0911:亲们，高兴一下@衙门森林 @张三零 @大头苗 @说话之岛 @鱼骨头322 不记得怡敏同学微博叫啥了。
73719,0,店员说，多半是不行了，即使修价格估计跟买个新的差不多，硬盘数据多半也会有损失，店里还没有设备，可以自己上淘宝买一个。惨惨惨，两年无数个深夜熬出来的方案啊，价值不菲的闹。[泪][泪][泪][泪]
89255,0,记得辐射最容易攻击甲状腺和男性某位置，我关心东京有没有怀孕的，是不是全畸形，如果有，神奇的微博早说了，否则基本扯 //@雪狼湖-听:@dl晕菜[晕][晕][晕] //@大师兄huangzhenli:多想办三年签证，多想去北海道，多想滑深粉雪，多想温泉冰火浴，多想大螃蟹的鲜美。[哈哈][失望][哼][酷]
72533,0,一个小时了，还你妈没有开出南三环呢！[抓狂][抓狂][抓狂][抓狂][抓狂][抓狂][抓狂]
112840,0,抽我 我不想等了[抓狂]
11386,1,[害羞] //@cynthia麦:@EmingSt [嘻嘻]//@艾琳楼: 我错了[害羞]
39801,1,【城市之音四川台102.6】#成都16届国际车展城市之音FM102.6全程直击# 无论你在哪里，请一定随手将自己的垃圾带走，并扔进垃圾箱。请给自己的孩子树立好的榜样，请给自己营造一个好的环境！[爱你]文明车展，环保车展哟亲！[心]
34604,1,喜欢[鼓掌] //@枫泾才子:对于文武兄的技术，我已经没话说了
1243,1,[爱你]亲爱的好早，现场感受怎么样？艺术了吗？小蜜蜂在微博上会呈上各种细节哦，不要只被手中丰富的手工包吸引啦。[偷笑]
108979,0,//@老败: //@梦夜开启小红赛高模式: 我就知道你又轮我了！[泪]
55717,1,回复@菜小奕:我们于绵延6公里的银白色沙滩敬候您的光临！[太开心] //@菜小奕:回复@May-Jaw:哈哈哈哈好希望节后能去 //@May-Jaw:欢迎光临石梅湾艾美度假酒店！[做鬼脸]可搭乘免费船览绕加井岛参观哟！@艾美酒店及度假村LeMeridien 祝e-golf 试驾顺利成功！
